Richie gained 0 points because Vince won HOH during week 1.
Richie gained 4.5 points because Zach won another competition during week 1.
Richie gained 1.0 points because Jimmy won another competition during week 1.
Terri gained 5 points because Vince won HOH during week 1.
Terri gained 5.0 points because Zach won another competition during week 1.
Terri gained 4.5 points because Jimmy won another competition during week 1.
Karen lost 4 points because Vince won HOH during week 1.
Karen gained 5.0 points because Zach won another competition during week 1.
Karen gained 3.5 points because Jimmy won another competition during week 1.
Maggie lost 3 points because Vince won HOH during week 1.
Maggie gained 3.0 points because Zach won another competition during week 1.
Maggie gained 2.5 points because Jimmy won another competition during week 1.
Kirsten lost 5 points because Vince won HOH during week 1.
Kirsten gained 1.5 points because Zach won another competition during week 1.
Kirsten gained 5.0 points because Jimmy won another competition during week 1.
Bobby gained 1 points because Vince won HOH during week 1.
Bobby gained 5.0 points because Zach won another competition during week 1.
Bobby lost 2.0 points because Jimmy won another competition during week 1.
Danielle gained 8 points because Vince won HOH during week 1.
Danielle gained 3.0 points because Zach won another competition during week 1.
Danielle gained 1.5 points because Jimmy won another competition during week 1.
Dee lost 1 points because Vince won HOH during week 1.
Dee gained 5.0 points because Zach won another competition during week 1.
Dee gained 0.0 points because Jimmy won another competition during week 1.
Steph lost 5 points because Vince won HOH during week 1.
Steph lost 1.5 points because Zach won another competition during week 1.
Steph gained 4.5 points because Jimmy won another competition during week 1.
Peggy lost 1 points because Vince won HOH during week 1.
Peggy gained 2.5 points because Zach won another competition during week 1.
Peggy gained 4.0 points because Jimmy won another competition during week 1.
Sharon gained 6 points because Vince won HOH during week 1.
Sharon gained 5.0 points because Zach won another competition during week 1.
Sharon lost 2.0 points because Jimmy won another competition during week 1.
Anmol gained 2 points because Vince won HOH during week 1.
Anmol gained 4.5 points because Zach won another competition during week 1.
Anmol lost 2.5 points because Jimmy won another competition during week 1.
Caroline gained 3 points because Vince won HOH during week 1.
Caroline gained 5.0 points because Zach won another competition during week 1.
Caroline gained 3.5 points because Jimmy won another competition during week 1.
Bern gained 10 points because Vince won HOH during week 1.
Bern gained 3.5 points because Zach won another competition during week 1.
Bern gained 4.5 points because Jimmy won another competition during week 1.
Joe gained 3 points because Vince won HOH during week 1.
Joe gained 5.0 points because Zach won another competition during week 1.
Joe gained 2.0 points because Jimmy won another competition during week 1.
Average lost 1 points because Vince won HOH during week 1.
Average gained 5.0 points because Zach won another competition during week 1.
Average gained 3.0 points because Jimmy won another competition during week 1.
ChatGPT gained 4 points because Vince won HOH during week 1.
ChatGPT gained 3.5 points because Zach won another competition during week 1.
ChatGPT gained 0.0 points because Jimmy won another competition during week 1.
