Player,Total Points,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Richie,167.5,-4.25,13.75,16.0,27.75,14.75,0.25,-6.25,1.75,21.0,9,24.75,12.5,16,0,8,2.5,10
Terri,172.25,22.25,11.0,7.25,13.25,6.5,5.25,7.5,-0.25,7.75,1,13.25,4.75,2,5,1,14.75,50
Karen,44.0,22.5,20.0,-0.25,-0.25,-4.75,-1.0,6.25,-2.0,-6.5,-8,-3.25,-5.25,-4,-5,-2,12.5,25
Maggie,99.0,-4.75,42.75,12.25,6.25,12.25,-4.25,6.25,2.5,16.0,1,21.25,-4.75,8,-4,4,-5.75,-10
Kirsten,179.5,18.75,20.0,7.25,9.75,10.25,-2.0,-2.5,3.5,17.25,6,22.5,7.75,14,-6,7,21.0,25
Bobby,220.0,19.75,0.0,14.75,23.25,15.25,-0.75,-4.5,5.0,12.0,-2,21.25,9.25,8,1,4,18.75,75
Danielle,361.5,38.75,8.0,14.5,6.75,10.25,3.0,-10.0,25.75,16.75,11,9.0,18.5,18,8,9,24.25,150
Dee,178.25,3.0,16.0,22.75,26.25,25.75,7.5,-2.25,6.5,15.75,8,23.5,11.25,10,-1,5,0.25,0
Steph,174.5,10.25,-0.5,-0.5,6.5,3.75,4.75,8.75,-1.75,13.0,14,5.75,9.0,16,-6,8,23.5,60
Peggy,214.25,9.0,32.5,14.5,19.75,3.5,23.5,19.75,-5.0,3.0,3,25.5,7.75,-8,-1,-4,0.5,70
Sharon,154.25,-2.5,14.25,13.25,23.0,23.25,0.25,1.25,-1.5,9.0,-4,21.25,4.25,0,6,0,-3.5,50
Anmol,72.0,9.25,8.5,18.5,29.75,21.75,-0.75,4.5,-7.75,-1.75,-9,17.0,-0.75,-10,1,-5,6.75,-10
Caroline,241.75,17.0,24.25,14.75,19.75,17.25,8.25,8.0,3.0,17.75,2,23.0,4.5,10,3,5,14.25,50
Bern,150.75,22.75,-1.0,-2.75,2.75,3.0,4.75,-7.25,15.25,3.0,-1,0.0,17.75,8,10,4,6.5,65
Joe,198.75,8.0,23.75,8.5,11.25,6.75,2.75,12.5,8.25,22.75,3,21.5,6.25,18,3,9,8.5,25
Average,219.5,9.75,18.0,12.75,22.25,16.25,-2.5,1.0,0.0,21.25,2,29.5,6.25,14,-2,7,14.0,50
ChatGPT,269.25,17.5,-3.25,-5.25,7.5,8.75,2.0,-8.0,5.5,18.75,7,19.5,19.0,18,4,9,24.25,125
