Player,Total Points,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7
Richie,88.0,8.5,28.25,30.5,-3.0,15.0,4.75,4
Joe_C,88.0,21.5,13.5,27.75,4.5,4.25,8.5,8
Peggy,86.25,6.0,18.0,5.75,20.5,24.25,9.75,2
Shannon,73.25,16.25,-10.5,15.5,26.25,13.5,6.25,6
Maggie,88.0,16.25,22.0,34.75,-1.75,-3.0,14.75,5
Karen,84.25,28.5,-4.25,3.5,28.75,6.25,20.5,1
Theresea,32.5,10.75,-3.75,27.75,4.75,15.25,-17.25,-5
Charlie,70.5,12.75,4.25,8.0,25.5,10.5,1.5,8
Kirsten,89.0,27.25,11.0,21.75,13.75,-10.25,15.5,10
Bishan,23.0,-0.25,-8.75,14.25,3.25,15.75,3.75,-5
Bob_Shea,68.5,33.5,10.5,21.0,-3.5,-11.5,16.5,2
Anna,92.25,26.25,15.75,27.0,6.25,1.75,5.25,10
Danielle,64.25,13.5,15.75,1.25,19.75,-4.0,8.0,10
Sharon,-5.75,4.0,-9.5,-6.25,17.5,0.0,-5.5,-6
Steph,94.75,28.5,17.25,3.0,4.0,6.5,26.5,9
Bern,68.0,14.75,23.5,7.75,21.5,-4.75,3.25,2
Caroline,52.0,6.0,9.0,8.75,6.25,19.0,-7.0,10
Dee_L,99.5,33.75,7.25,29.5,-4.75,13.75,16.0,4
Terri,78.75,34.5,1.5,25.75,0.75,5.5,11.75,-1
ChatGPT,68.5,8.5,28.75,19.25,7.0,0.0,-5.0,10
Average,101.0,32.75,5.25,30.5,9.0,7.0,8.5,8
